Alter,Körperlänge,Berufsausb.,Geschlecht
22,187,n,m
21,178,n,m
23,170,n,m
24,170,n,m
24,171,n,m
27,193,j,m
19,168,n,w
19,160,n,w
21,163,n,w
22,161,n,w
21,160,n,w
26,164,j,m
22,174,n,m
24,160,n,w
20,163,n,w
23,193,n,m
21,184,n,m
22,185,n,m
20,163,n,w
24,182,n,m
21,185,n,m
22,170,n,m
22,180,n,m
20,182,n,m
21,185,n,m
26,182,j,m
24,183,n,m
28,169,j,w
25,187,j,m
25,183,j,m
21,165,n,m
21,176,n,m
20,180,n,m
25,172,j,w
22,170,n,w
20,170,n,w
21,173,n,w
20,174,n,w
23,189,j,m
22,180,n,m
28,190,j,m
26,184,j,m
21,176,n,m
23,176,j,m
22,188,n,m
20,185,n,m
24,182,n,m
20,183,n,m
19,182,n,w
23,185,n,m
22,160,n,w
26,175,j,m
20,195,n,m
25,176,j,w
22,165,n,w
25,180,n,m
22,170,n,m
26,185,j,m
25,178,n,m
22,184,n,m
23,155,j,w
23,178,n,m
23,176,j,m
20,183,n,m
26,185,n,m
21,174,n,w
25,176,j,w
25,170,n,m
22,165,n,w
23,160,n,w
